"site_no","SAMPLE_DATE","Dec_Lat","Dec_Long","AP","CHARACTERISTIC_NAME","RSLT_RESULT_VALUE","RSLT_RESULT_UNIT"
425606074372001,2021-09-08,42.935083,-74.622111,"N","SODIUM",108000,"ug/L"
425646074220802,2021-09-09,42.946185,-74.368468,"N","SODIUM",87900,"ug/L"
425651073395801,2012-08-06,42.947528,-73.666889,"N","SODIUM",86500,"ug/L"
425710074351001,2021-09-09,42.952833,-74.586222,"N","SODIUM",34000,"ug/L"
425716077254501,2017-09-27,42.954131,-77.434583,"N","SODIUM",14300,"ug/L"
425751077000401,2017-12-11,42.964305,-77.000861,"N","SODIUM",28600,"ug/L"
425825077422201,2020-07-27,42.973833,-77.706333,"N","SODIUM",39200,"ug/L"
425846077494501,2020-07-28,42.979667,-77.829333,"N","SODIUM",32300,"ug/L"
425854075285701,2017-11-01,42.981712,-75.48255,"N","SODIUM",4930,"ug/L"
425900078120001,2011-08-04,42.984472,-78.161167,"N","SODIUM",60600,"ug/L"
425900078120001,2016-08-09,42.984472,-78.161167,"N","SODIUM",103000,"ug/L"
425900078120001,2021-07-29,42.984472,-78.161167,"N","SODIUM",101000,"ug/L"
425918075143801,2021-08-25,42.988456,-75.244039,"N","SODIUM",12000,"ug/L"
425944076385301,2017-10-10,42.995305,-76.647874,"N","SODIUM",12200,"ug/L"
430047075003001,2011-07-27,43.013,-75.008028,"N","SODIUM",68700,"ug/L"
430047075003001,2011-07-27,43.01325,-75.008056,"N","SODIUM",68700,"ug/L"
430047075003001,2016-11-14,43.013,-75.008028,"N","SODIUM",64200,"ug/L"
430047075003001,2016-11-14,43.01325,-75.008056,"N","SODIUM",64200,"ug/L"
430047075003001,2021-08-17,43.013,-75.008028,"N","SODIUM",87000,"ug/L"
430047075003001,2021-08-17,43.01325,-75.008056,"N","SODIUM",87000,"ug/L"
430047078160201,2016-12-07,43.013039,-78.267106,"N","SODIUM",48700,"ug/L"
430052073505501,2012-08-22,43.05425,-73.849639,"N","SODIUM",54200,"ug/L"
430108075022801,2021-08-17,43.018972,-75.041,"N","SODIUM",23700,"ug/L"
430131078240301,2016-07-18,43.025353,-78.400719,"N","SODIUM",32200,"ug/L"
430150073513201,2017-09-26,43.041444,-73.860083,"N","SODIUM",9330,"ug/L"
430150077405001,2020-09-14,43.030833,-77.680833,"N","SODIUM",13200,"ug/L"
430201074283801,2016-10-25,43.03353,-74.47719,"N","SODIUM",3810,"ug/L"
430247075115501,2016-10-26,43.04628,-75.19881,"N","SODIUM",94900,"ug/L"
430300078571201,2021-07-29,43.050139,-78.953222,"N","SODIUM",539000,"ug/L"
430301073212601,2012-08-08,43.050361,-73.35725,"N","SODIUM",80100,"ug/L"
430320075231601,2016-11-07,43.05539,-75.38792,"N","SODIUM",30000,"ug/L"
